Timestamp,Actual Position,Target Position,IMU Data
1732127763.8240962,"[-1443, -1443]",[],0
1732127764.3502655,"[-1443, -1443]",[],0
1732127764.352404,"[-1443, -1443]",[9000],0
1732127764.3610163,"[-1443, -1443]",[9000],0
1732127764.3680406,"[-1443, -1443]",[9000],0
1732127764.3689613,"[-1443, -1443]",[9000],0
1732127764.3777099,"[-1443, -1442]",[9000],0
1732127764.3777099,"[-1443, -1443]",[9000],0
1732127764.3851163,"[-1443, -1443]",[9000],0
1732127764.3851163,"[-1443, -1443]",[9000],0
1732127764.3935692,"[-1443, -1442]",[9000],0
1732127764.3935692,"[-1443, -1443]",[9000],0
1732127764.4428513,"[-1443, -1443]",[9000],0
1732127764.4428513,"[-1443, -1443]",[9000],0
1732127764.4504712,"[-1443, -1443]",[9000],0
1732127764.458553,"[-1443, -1443]",[9000],0
1732127764.458553,"[-1443, -1443]",[9000],0
1732127764.4671926,"[-1443, -1443]",[9000],0
1732127764.4711442,"[-1443, -1443]",[9000],0
1732127764.4750104,"[-1443, -1443]",[9000],0
1732127764.4834337,"[-1443, -1443]",[9000],0
1732127764.4850075,"[-1443, -1443]",[9000],0
1732127764.4917662,"[-1443, -1443]",[9000],0
1732127764.4917662,"[-1443, -1443]",[9000],0
1732127764.4992828,"[-1443, -1443]",[9000],0
1732127764.5045617,"[-1443, -1443]",[9000],0
1732127764.5077913,"[-1443, -1443]",[9000],0
1732127764.5077913,"[-1443, -1443]",[9000],0
1732127764.51673,"[-1443, -1443]",[9000],0
1732127764.51673,"[-1443, -1443]",[9000],0
1732127764.5245368,"[-1443, -1443]",[9000],0
1732127764.526429,"[-1443, -1443]",[9000],0
1732127764.533424,"[-1443, -1443]",[9000],0
1732127764.5355067,"[-1443, -1443]",[9000],0
1732127764.540872,"[-1443, -1443]",[9000],0
1732127764.540872,"[-1443, -1443]",[9000],0
1732127764.5506086,"[-1443, -1442]",[9000],0
1732127764.5506086,"[-1443, -1443]",[9000],0
1732127764.5573483,"[-1443, -1443]",[9000],0
1732127764.5573483,"[-1443, -1443]",[9000],0
1732127764.5657213,"[-1443, -1443]",[9000],0
1732127764.5657213,"[-1443, -1443]",[9000],0
1732127764.574063,"[-1443, -1443]",[9000],0
1732127764.574063,"[-1443, -1443]",[9000],0
1732127764.582284,"[-1443, -1442]",[9000],0
1732127764.58313,"[-1443, -1443]",[9000],0
1732127764.58313,"[-1443, -1443]",[9000],0
1732127764.5920134,"[-1443, -1442]",[9000],0
1732127764.5920134,"[-1443, -1443]",[9000],0
1732127764.5997252,"[-1443, -1443]",[9000],0
1732127764.5997252,"[-1443, -1443]",[9000],0
1732127764.6077135,"[-1443, -1443]",[9000],0
1732127764.6077135,"[-1443, -1442]",[9000],0
1732127764.6168785,"[-1443, -1443]",[9000],0
1732127764.6168785,"[-1443, -1443]",[9000],0
1732127764.6258857,"[-1443, -1443]",[9000],0
1732127764.6258857,"[-1443, -1443]",[9000],0
1732127764.6325626,"[-1443, -1442]",[9000],0
1732127764.6325626,"[-1443, -1443]",[9000],0
1732127764.640913,"[-1443, -1443]",[9000],0
1732127764.640913,"[-1443, -1443]",[9000],0
1732127764.6489222,"[-1443, -1443]",[9000],0
1732127764.6512392,"[-1443, -1443]",[9000],0
1732127764.6573827,"[-1443, -1443]",[9000],0
1732127764.6573827,"[-1443, -1443]",[9000],0
1732127764.6654193,"[-1443, -1443]",[9000],0
1732127764.6654193,"[-1443, -1443]",[9000],0
1732127764.6737905,"[-1443, -1443]",[9000],0
1732127764.6737905,"[-1443, -1443]",[9000],0
1732127764.6817982,"[-1443, -1443]",[9000],0
1732127764.6817982,"[-1443, -1443]",[9000],0
1732127764.6899374,"[-1443, -1443]",[9000],0
1732127764.6899374,"[-1443, -1443]",[9000],0
1732127764.6980565,"[-1443, -1442]",[9000],0
1732127764.6980565,"[-1443, -1443]",[9000],0
1732127764.7060797,"[-1443, -1443]",[9000],0
1732127764.7079222,"[-1443, -1442]",[9000],0
1732127764.7145116,"[-1443, -1443]",[9000],0
1732127764.7145116,"[-1443, -1443]",[9000],0
1732127764.7226608,"[-1443, -1443]",[9000],0
1732127764.7226608,"[-1443, -1443]",[9000],0
1732127764.7226608,"[-1443, -1443]",[9000],0
1732127764.7308416,"[-1443, -1443]",[9000],0
1732127764.7308416,"[-1443, -1443]",[9000],0
1732127764.7388985,"[-1443, -1443]",[9000],0
1732127764.7471437,"[-1443, -1443]",[9000],0
1732127764.7512484,"[-1443, -1443]",[9000],0
1732127764.7556484,"[-1443, -1443]",[9000],0
1732127764.7556484,"[-1443, -1443]",[9000],0
1732127764.764397,"[-1443, -1443]",[9000],0
1732127764.764397,"[-1443, -1443]",[9000],0
1732127764.7720926,"[-1443, -1443]",[9000],0
1732127764.7720926,"[-1443, -1443]",[9000],0
1732127764.780932,"[-1443, -1443]",[9000],0
1732127764.7885497,"[-1443, -1443]",[9000],0
1732127764.7885497,"[-1443, -1443]",[9000],0
1732127764.7978194,"[-1443, -1443]",[9000],0
1732127764.8048306,"[-1443, -1443]",[9000],0
1732127764.8048306,"[-1443, -1443]",[9000],0
1732127764.8129427,"[-1443, -1443]",[9000],0
1732127764.8129427,"[-1443, -1442]",[9000],0
1732127764.821084,"[-1443, -1443]",[9000],0
1732127764.8308206,"[-1443, -1443]",[9000],0
1732127764.8308206,"[-1443, -1443]",[9000],0
1732127764.8373349,"[-1443, -1443]",[9000],0
1732127764.845377,"[-1443, -1443]",[9000],0
1732127764.8514848,"[-1443, -1443]",[9000],0
1732127764.854641,"[-1443, -1443]",[9000],0
1732127765.381426,"[-1443, -1443]",[9000],0
1732127765.9053793,"[-1443, -1443]",[9000],0
1732127765.9131637,"[-1443, -1443]",[-9000],0
1732127765.922376,"[-1443, -1443]",[-9000],0
1732127765.9293861,"[-1443, -1443]",[-9000],0
1732127765.9293861,"[-1443, -1443]",[-9000],0
1732127765.938156,"[-1443, -1443]",[-9000],0
1732127765.948366,"[-1443, -1443]",[-9000],0
1732127765.9542358,"[-1443, -1443]",[-9000],0
1732127765.9555821,"[-1443, -1443]",[-9000],0
1732127765.9620223,"[-1443, -1443]",[-9000],0
1732127765.9727128,"[-1443, -1442]",[-9000],0
1732127765.9787254,"[-1443, -1443]",[-9000],0
1732127765.9799216,"[-1443, -1443]",[-9000],0
1732127765.9869356,"[-1443, -1443]",[-9000],0
1732127765.9960155,"[-1443, -1443]",[-9000],0
1732127765.9960155,"[-1443, -1443]",[-9000],0
1732127766.0036206,"[-1443, -1443]",[-9000],0
1732127766.0117192,"[-1443, -1443]",[-9000],0
1732127766.020463,"[-1443, -1443]",[-9000],0
1732127766.023685,"[-1443, -1443]",[-9000],0
1732127766.029995,"[-1443, -1443]",[-9000],0
1732127766.0376177,"[-1443, -1443]",[-9000],0
1732127766.0376177,"[-1443, -1443]",[-9000],0
1732127766.0459254,"[-1443, -1442]",[-9000],0
1732127766.054754,"[-1443, -1443]",[-9000],0
1732127766.061919,"[-1443, -1443]",[-9000],0
1732127766.0624454,"[-1443, -1443]",[-9000],0
1732127766.0699553,"[-1443, -1443]",[-9000],0
1732127766.0699553,"[-1443, -1443]",[-9000],0
1732127766.0779657,"[-1443, -1443]",[-9000],0
1732127766.0779657,"[-1443, -1443]",[-9000],0
1732127766.0860207,"[-1443, -1443]",[-9000],0
1732127766.0940132,"[-1443, -1443]",[-9000],0
1732127766.0940132,"[-1443, -1443]",[-9000],0
1732127766.1021705,"[-1443, -1443]",[-9000],0
1732127766.1105843,"[-1443, -1443]",[-9000],0
1732127766.1125445,"[-1443, -1443]",[-9000],0
1732127766.1185746,"[-1443, -1443]",[-9000],0
1732127766.1185746,"[-1443, -1443]",[-9000],0
1732127766.1269195,"[-1443, -1443]",[-9000],0
1732127766.1322556,"[-1443, -1443]",[-9000],0
1732127766.1351798,"[-1443, -1443]",[-9000],0
1732127766.1351798,"[-1443, -1443]",[-9000],0
1732127766.1436257,"[-1443, -1443]",[-9000],0
1732127766.1517124,"[-1443, -1443]",[-9000],0
1732127766.1535902,"[-1443, -1443]",[-9000],0
1732127766.163304,"[-1443, -1443]",[-9000],0
1732127766.1683328,"[-1443, -1443]",[-9000],0
1732127766.1683328,"[-1443, -1443]",[-9000],0
1732127766.176897,"[-1443, -1442]",[-9000],0
1732127766.1848974,"[-1443, -1443]",[-9000],0
1732127766.1852982,"[-1443, -1443]",[-9000],0
1732127766.193844,"[-1443, -1443]",[-9000],0
1732127766.2018518,"[-1443, -1442]",[-9000],0
1732127766.2022781,"[-1443, -1443]",[-9000],0
1732127766.2112393,"[-1443, -1443]",[-9000],0
1732127766.2187498,"[-1443, -1443]",[-9000],0
1732127766.2187498,"[-1443, -1443]",[-9000],0
1732127766.227288,"[-1443, -1443]",[-9000],0
1732127766.227288,"[-1443, -1443]",[-9000],0
1732127766.2353039,"[-1443, -1443]",[-9000],0
1732127766.2353039,"[-1443, -1443]",[-9000],0
1732127766.243354,"[-1443, -1443]",[-9000],0
1732127766.2539463,"[-1443, -1443]",[-9000],0
1732127766.2547672,"[-1443, -1442]",[-9000],0
1732127766.265477,"[-1443, -1443]",[-9000],0
1732127766.2683215,"[-1443, -1443]",[-9000],0
1732127766.2761302,"[-1443, -1443]",[-9000],0
1732127766.2765243,"[-1443, -1443]",[-9000],0
1732127766.2847602,"[-1443, -1443]",[-9000],0
1732127766.2928634,"[-1443, -1443]",[-9000],0
1732127766.2928634,"[-1443, -1443]",[-9000],0
1732127766.3007631,"[-1443, -1443]",[-9000],0
1732127766.3088534,"[-1443, -1443]",[-9000],0
1732127766.3088534,"[-1443, -1443]",[-9000],0
1732127766.3173187,"[-1443, -1443]",[-9000],0
1732127766.3254347,"[-1443, -1443]",[-9000],0
1732127766.3338678,"[-1443, -1443]",[-9000],0
1732127766.3338678,"[-1443, -1443]",[-9000],0
1732127766.3420088,"[-1443, -1443]",[-9000],0
1732127766.3500025,"[-1443, -1443]",[-9000],0
1732127766.3546424,"[-1443, -1443]",[-9000],0
1732127766.357409,"[-1443, -1443]",[-9000],0
1732127766.3655543,"[-1443, -1443]",[-9000],0
1732127766.366007,"[-1443, -1443]",[-9000],0
1732127766.3740482,"[-1443, -1443]",[-9000],0
1732127766.3827605,"[-1443, -1443]",[-9000],0
1732127766.3827605,"[-1443, -1443]",[-9000],0
1732127766.3905754,"[-1443, -1443]",[-9000],0
1732127766.3905754,"[-1443, -1443]",[-9000],0
1732127766.3993604,"[-1443, -1443]",[-9000],0
1732127766.407462,"[-1443, -1443]",[-9000],0
1732127766.407462,"[-1443, -1443]",[-9000],0
1732127766.4173224,"[-1443, -1443]",[-9000],0
1732127766.9447417,"[-1443, -1443]",[-9000],0
1732127767.4719286,"[-1443, -1443]",[-9000],0
1732127767.4802692,"[-1443, -1443]",[9000],0
1732127767.4883187,"[-1443, -1443]",[9000],0
1732127767.4883187,"[-1443, -1443]",[9000],0
1732127767.4962764,"[-1443, -1443]",[9000],0
1732127767.4962764,"[-1443, -1443]",[9000],0
1732127767.5050323,"[-1443, -1443]",[9000],0
1732127767.5125573,"[-1443, -1442]",[9000],0
1732127767.5125573,"[-1443, -1443]",[9000],0
1732127767.5205684,"[-1443, -1443]",[9000],0
1732127767.5205684,"[-1443, -1443]",[9000],0
1732127767.5285685,"[-1443, -1443]",[9000],0
1732127767.5285685,"[-1443, -1443]",[9000],0
1732127767.5365672,"[-1443, -1443]",[9000],0
1732127767.5434837,"[-1443, -1443]",[9000],0
1732127767.5461178,"[-1443, -1443]",[9000],0
1732127767.5461178,"[-1443, -1443]",[9000],0
1732127767.5564094,"[-1443, -1443]",[9000],0
1732127767.5564094,"[-1443, -1443]",[9000],0
